I_bias_A,H_bias_A_per_m,L_ac_H
0.01,60.81081081081081,3.522789929125646e-05
0.11310344827586206,687.7912395153774,3.316259371812386e-05
0.21620689655172415,1314.771668219944,2.80863965685284e-05
0.31931034482758625,1941.7520969245109,2.35812672867846e-05
0.4224137931034483,2568.7325256290774,1.9741601692765273e-05
0.5255172413793103,3195.7129543336437,1.7004937931678022e-05
0.6286206896551725,3822.693383038211,1.5683770028187646e-05
0.7317241379310345,4449.673811742778,1.431139999408494e-05
0.8348275862068966,5076.654240447344,1.2741517085704997e-05
0.9379310344827586,5703.63466915191,1.1476479439573232e-05
1.0410344827586206,6330.615097856477,1.0581914129445851e-05
1.1441379310344828,6957.595526561044,9.930815023438453e-06
1.247241379310345,7584.575955265611,9.438985499054551e-06
1.3503448275862069,8211.556383970175,9.050396712985628e-06
1.453448275862069,8838.536812674743,8.728189946856892e-06
1.556551724137931,9465.51724137931,8.454542589196808e-06
1.6596551724137931,10092.497670083876,8.211733851427512e-06
1.7627586206896553,10719.478098788444,7.992893675958794e-06
1.8658620689655172,11346.458527493009,7.795065164277361e-06
1.9689655172413794,11973.438956197575,7.614587350969721e-06
2.072068965517241,12600.419384902141,7.450532717675115e-06
2.175172413793103,13227.399813606708,7.303419346425498e-06
2.2782758620689654,13854.380242311276,7.173022906719756e-06
2.3813793103448275,14481.360671015842,7.059660514347273e-06
2.4844827586206897,15108.341099720408,6.962236877045807e-06
2.5875862068965514,15735.321528424975,6.87853212466385e-06
2.6906896551724135,16362.30195712954,6.805817514136544e-06
2.7937931034482757,16989.282385834107,6.742738794554682e-06
2.896896551724138,17616.262814538677,6.6873326381439265e-06
3.0,18243.243243243243,6.639007851713565e-06
