I_bias_A,L_ac_H,I_ac_wdg_A
0.01,3.522268946794836e-05,-1.0
0.06067796610169492,3.481362582587269e-05,-1.0
0.11135593220338984,3.325295700408457e-05,-1.0
0.16203389830508477,3.121245515188482e-05,-1.0
0.2127118644067797,2.849650263360486e-05,-1.0
0.26338983050847464,2.606010015751315e-05,-1.0
0.31406779661016954,2.403885085091182e-05,-1.0
0.36474576271186443,2.220944304689034e-05,-1.0
0.4154237288135594,2.039911814440754e-05,-1.0
0.4661016949152543,1.880387619182399e-05,-1.0
0.5167796610169493,1.76054376902612e-05,-1.0
0.5674576271186441,1.677434957540252e-05,-1.0
0.6181355932203391,1.614365602645453e-05,-1.0
0.668813559322034,1.553772045141473e-05,-1.0
0.7194915254237289,1.485588322569392e-05,-1.0
0.7701694915254238,1.411189884106031e-05,-1.0
0.8208474576271187,1.335979020343522e-05,-1.0
0.8715254237288137,1.265448283844325e-05,-1.0
0.9222033898305086,1.203153488593748e-05,-1.0
0.9728813559322035,1.149986970776665e-05,-1.0
1.0235593220338985,1.104860845101102e-05,-1.0
1.0742372881355933,1.066215972557998e-05,-1.0
1.1249152542372882,1.032762827137605e-05,-1.0
1.1755932203389832,1.00344535784398e-05,-1.0
1.2262711864406781,9.775091120434468e-06,-1.0
1.276949152542373,9.544358996318254e-06,-1.0
1.327627118644068,9.337541931204943e-06,-1.0
1.378305084745763,9.150478744368832e-06,-1.0
1.4289830508474577,8.979912084980247e-06,-1.0
1.4796610169491526,8.822892402655036e-06,-1.0
1.5303389830508476,8.676403969611004e-06,-1.0
1.5810169491525425,8.537787223192419e-06,-1.0
1.6316949152542375,8.405100709437192e-06,-1.0
1.6823728813559324,8.277370414571829e-06,-1.0
1.7330508474576274,8.154060295609622e-06,-1.0
1.7837288135593223,8.034921410795125e-06,-1.0
1.8344067796610173,7.9199201701137e-06,-1.0
1.885084745762712,7.808979501515787e-06,-1.0
1.935762711864407,7.702071070504115e-06,-1.0
1.986440677966102,7.599144086238037e-06,-1.0
2.037118644067797,7.500050222153058e-06,-1.0
2.0877966101694914,7.40471784061175e-06,-1.0
2.1384745762711863,7.313039138395921e-06,-1.0
2.1891525423728813,7.224909656353252e-06,-1.0
2.239830508474576,7.140284098858896e-06,-1.0
2.290508474576271,7.059202299555982e-06,-1.0
2.341186440677966,6.981708670993614e-06,-1.0
2.391864406779661,6.907797284801769e-06,-1.0
2.442542372881356,6.837338416916425e-06,-1.0
2.493220338983051,6.770110820300524e-06,-1.0
2.543898305084746,6.705883641753543e-06,-1.0
2.594576271186441,6.644434951907168e-06,-1.0
2.645254237288136,6.585533232450742e-06,-1.0
2.6959322033898308,6.528999570969489e-06,-1.0
2.7466101694915257,6.47463860377373e-06,-1.0
2.7972881355932206,6.422276218910701e-06,-1.0
2.847966101694915,6.371831745483824e-06,-1.0
2.89864406779661,6.323180877993042e-06,-1.0
2.949322033898305,6.276282394812066e-06,-1.0
3.0,6.231100949534085e-06,-1.0
0.01,3.5223818791751175e-05,-0.8
0.06067796610169492,3.481389128242996e-05,-0.8
0.11135593220338984,3.324621868156761e-05,-0.8
0.16203389830508477,3.120093855657415e-05,-0.8
0.2127118644067797,2.845738459684811e-05,-0.8
0.26338983050847464,2.6014882819150996e-05,-0.8
0.31406779661016954,2.400354620116935e-05,-0.8
0.36474576271186443,2.218929420108281e-05,-0.8
0.4154237288135594,2.0353785819492122e-05,-0.8
0.4661016949152543,1.87441610000239e-05,-0.8
0.5167796610169493,1.755693120618301e-05,-0.8
0.5674576271186441,1.6745882313797337e-05,-0.8
0.6181355932203391,1.6140647224839947e-05,-0.8
0.668813559322034,1.5547464666621538e-05,-0.8
0.7194915254237289,1.4863967569753661e-05,-0.8
0.7701694915254238,1.4112187273865074e-05,-0.8
0.8208474576271187,1.3349932005043512e-05,-0.8
0.8715254237288137,1.2638495183123149e-05,-0.8
0.9222033898305086,1.2015223354715505e-05,-0.8
0.9728813559322035,1.1486223937194138e-05,-0.8
1.0235593220338985,1.103766025618489e-05,-0.8
1.0742372881355933,1.0653449842690629e-05,-0.8
1.1249152542372882,1.0320275289816685e-05,-0.8
1.1755932203389832,1.0027938214640864e-05,-0.8
1.2262711864406781,9.769540462292825e-06,-0.8
1.276949152542373,9.5399916654541e-06,-0.8
1.327627118644068,9.334129799490789e-06,-0.8
1.378305084745763,9.147781899398925e-06,-0.8
1.4289830508474577,8.977772297647573e-06,-0.8
1.4796610169491526,8.821385401763892e-06,-0.8
1.5303389830508476,8.675487938791841e-06,-0.8
1.5810169491525425,8.537282903446732e-06,-0.8
1.6316949152542375,8.404784599553399e-06,-0.8
1.6823728813559324,8.277069149465739e-06,-0.8
1.7330508474576274,8.153653077475021e-06,-0.8
1.7837288135593223,8.034379875360414e-06,-0.8
1.8344067796610173,7.919225928079862e-06,-0.8
1.885084745762712,7.80814362565425e-06,-0.8
1.935762711864407,7.70109872447856e-06,-0.8
1.986440677966102,7.597998004208273e-06,-0.8
2.037118644067797,7.498756111516534e-06,-0.8
2.0877966101694914,7.4032632873182746e-06,-0.8
2.1384745762711863,7.311417064768661e-06,-0.8
2.1891525423728813,7.223113052697447e-06,-0.8
2.239830508474576,7.13827842464731e-06,-0.8
2.290508474576271,7.056968744461523e-06,-0.8
2.341186440677966,6.979262421238036e-06,-0.8
2.391864406779661,6.905151838485984e-06,-0.8
2.442542372881356,6.8345055385420485e-06,-0.8
2.493220338983051,6.767108907644292e-06,-0.8
2.543898305084746,6.7027237922746285e-06,-0.8
2.594576271186441,6.641107007153364e-06,-0.8
2.645254237288136,6.582018098368217e-06,-0.8
2.6959322033898308,6.525277960380122e-06,-0.8
2.7466101694915257,6.4706738864961174e-06,-0.8
2.7972881355932206,6.418059023098622e-06,-0.8
2.847966101694915,6.367360567098523e-06,-0.8
2.89864406779661,6.318452725991073e-06,-0.8
2.949322033898305,6.271279399329439e-06,-0.8
3.0,6.225835241366562e-06,-0.8
0.01,3.5224730362556966e-05,-0.6
0.06067796610169492,3.481399844111022e-05,-0.6
0.11135593220338984,3.324099619394072e-05,-0.6
0.16203389830508477,3.119155876361197e-05,-0.6
0.2127118644067797,2.8428179434533664e-05,-0.6
0.26338983050847464,2.598063358568077e-05,-0.6
0.31406779661016954,2.3977075342098484e-05,-0.6
0.36474576271186443,2.217713393837532e-05,-0.6
0.4154237288135594,2.0320444211373934e-05,-0.6
0.4661016949152543,1.8698920412525418e-05,-0.6
0.5167796610169493,1.752198156111955e-05,-0.6
0.5674576271186441,1.67265455650916e-05,-0.6
0.6181355932203391,1.6143245675589726e-05,-0.6
0.668813559322034,1.5558896452701177e-05,-0.6
0.7194915254237289,1.4874993799569639e-05,-0.6
0.7701694915254238,1.4116360833189417e-05,-0.6
0.8208474576271187,1.3345913806340018e-05,-0.6
0.8715254237288137,1.2629182938132954e-05,-0.6
0.9222033898305086,1.2005939711959813e-05,-0.6
0.9728813559322035,1.1478938382745088e-05,-0.6
1.0235593220338985,1.1032263456107682e-05,-0.6
1.0742372881355933,1.0649797555100163e-05,-0.6
1.1249152542372882,1.0317313320909385e-05,-0.6
1.1755932203389832,1.002527754564638e-05,-0.6
1.2262711864406781,9.767580385216427e-06,-0.6
1.276949152542373,9.538798556380648e-06,-0.6
1.327627118644068,9.33353033824968e-06,-0.6
1.378305084745763,9.14760610184144e-06,-0.6
1.4289830508474577,8.977889925686901e-06,-0.6
1.4796610169491526,8.82185617407203e-06,-0.6
1.5303389830508476,8.676371661750188e-06,-0.6
1.5810169491525425,8.538376945159135e-06,-0.6
1.6316949152542375,8.405903333935348e-06,-0.6
1.6823728813559324,8.278025575830649e-06,-0.6
1.7330508474576274,8.154379416710476e-06,-0.6
1.7837288135593223,8.034798075864066e-06,-0.6
1.8344067796610173,7.919337751359055e-06,-0.6
1.885084745762712,7.807963397958622e-06,-0.6
1.935762711864407,7.700613181578262e-06,-0.6
1.986440677966102,7.597214235488709e-06,-0.6
2.037118644067797,7.4976705197701475e-06,-0.6
2.0877966101694914,7.401863911813235e-06,-0.6
2.1384745762711863,7.3096965771156524e-06,-0.6
2.1891525423728813,7.22105663982445e-06,-0.6
2.239830508474576,7.135855175449006e-06,-0.6
2.290508474576271,7.054151730405681e-06,-0.6
2.341186440677966,6.9760626087298086e-06,-0.6
2.391864406779661,6.901575212811331e-06,-0.6
