I_bias_A,L_ac_H,I_ac_wdg_A
0.01,7.560093915422571e-05,-0.05
0.06067796610169492,7.497561060651372e-05,-0.05
0.11135593220338984,7.296186109698333e-05,-0.05
0.16203389830508477,6.887373712111449e-05,-0.05
0.2127118644067797,6.478408144116952e-05,-0.05
0.26338983050847464,5.945499568895559e-05,-0.05
0.31406779661016954,5.3984764421204114e-05,-0.05
0.36474576271186443,4.934116078879624e-05,-0.05
0.4154237288135594,4.552027003615618e-05,-0.05
0.4661016949152543,4.2404124956441796e-05,-0.05
0.5167796610169493,3.9723763886606116e-05,-0.05
0.5674576271186441,3.6924548125061237e-05,-0.05
0.6181355932203391,3.420869805233142e-05,-0.05
0.668813559322034,3.1803432709064516e-05,-0.05
0.7194915254237289,2.9897469717394017e-05,-0.05
0.7701694915254238,2.848464602939252e-05,-0.05
0.8208474576271187,2.7454994416358758e-05,-0.05
0.8715254237288137,2.6689930539128497e-05,-0.05
0.9222033898305086,2.609528638974588e-05,-0.05
0.9728813559322035,2.5473847009963755e-05,-0.05
1.0235593220338985,2.47458387531605e-05,-0.05
1.0742372881355933,2.3923311431404497e-05,-0.05
1.1249152542372882,2.3020522869593237e-05,-0.05
1.1755932203389832,2.209624605530748e-05,-0.05
1.2262711864406781,2.119707608861938e-05,-0.05
1.276949152542373,2.034835217892362e-05,-0.05
1.327627118644068,1.957841526950084e-05,-0.05
1.378305084745763,1.8899445449668715e-05,-0.05
1.4289830508474577,1.8302629925553727e-05,-0.05
1.4796610169491526,1.7776983932310482e-05,-0.05
1.5303389830508476,1.7312857370344753e-05,-0.05
1.5810169491525425,1.6900179675380593e-05,-0.05
1.6316949152542375,1.653084716864529e-05,-0.05
1.6823728813559324,1.6194427795036775e-05,-0.05
1.7330508474576274,1.5889765777295318e-05,-0.05
1.7837288135593223,1.561270795324648e-05,-0.05
1.8344067796610173,1.5359458981729095e-05,-0.05
1.885084745762712,1.512751094658931e-05,-0.05
1.935762711864407,1.491282695191416e-05,-0.05
1.986440677966102,1.471333845753939e-05,-0.05
2.037118644067797,1.4527318540309915e-05,-0.05
2.0877966101694914,1.435341279334502e-05,-0.05
2.1384745762711863,1.4190116963610871e-05,-0.05
2.1891525423728813,1.4035993719556212e-05,-0.05
2.239830508474576,1.3890456954653348e-05,-0.05
2.290508474576271,1.3751819222896711e-05,-0.05
2.341186440677966,1.3617784674240801e-05,-0.05
2.391864406779661,1.3487318740976926e-05,-0.05
2.442542372881356,1.3360068895503803e-05,-0.05
2.493220338983051,1.3235141808349703e-05,-0.05
2.543898305084746,1.3111924682950173e-05,-0.05
2.594576271186441,1.2991570511943834e-05,-0.05
2.645254237288136,1.2873692210144844e-05,-0.05
2.6959322033898308,1.2758373935986027e-05,-0.05
2.7466101694915257,1.2645634414929575e-05,-0.05
2.7972881355932206,1.2535526675640045e-05,-0.05
2.847966101694915,1.2428139097024943e-05,-0.05
2.89864406779661,1.2323291898710024e-05,-0.05
2.949322033898305,1.2221295755999105e-05,-0.05
3.0,1.2121814892739995e-05,-0.05
0.01,7.559856663220255e-05,-0.2
0.06067796610169492,7.495952927205629e-05,-0.2
0.11135593220338984,7.28988660182932e-05,-0.2
0.16203389830508477,6.871842107812769e-05,-0.2
0.2127118644067797,6.447442652935714e-05,-0.2
0.26338983050847464,5.8990420678876346e-05,-0.2
0.31406779661016954,5.338710640469775e-05,-0.2
0.36474576271186443,4.862409554098392e-05,-0.2
0.4154237288135594,4.467734269102823e-05,-0.2
0.4661016949152543,4.143831619405262e-05,-0.2
0.5167796610169493,3.863015920614499e-05,-0.2
0.5674576271186441,3.5762886179656946e-05,-0.2
0.6181355932203391,3.2999428002478714e-05,-0.2
0.668813559322034,3.056546305277555e-05,-0.2
0.7194915254237289,2.862439449264898e-05,-0.2
0.7701694915254238,2.717104377348965e-05,-0.2
0.8208474576271187,2.6092320298157246e-05,-0.2
0.8715254237288137,2.5274969891081652e-05,-0.2
0.9222033898305086,2.4615066787045394e-05,-0.2
0.9728813559322035,2.3940488014822815e-05,-0.2
1.0235593220338985,2.317496475912916e-05,-0.2
1.0742372881355933,2.232488827629868e-05,-0.2
1.1249152542372882,2.1411672803952486e-05,-0.2
1.1755932203389832,2.0484044821489547e-05,-0.2
1.2262711864406781,1.958531522334521e-05,-0.2
1.276949152542373,1.8741387674412025e-05,-0.2
1.327627118644068,1.797657732051619e-05,-0.2
1.378305084745763,1.7300802788334934e-05,-0.2
1.4289830508474577,1.6705863367359965e-05,-0.2
1.4796610169491526,1.6180620818455818e-05,-0.2
1.5303389830508476,1.57152015580854e-05,-0.2
1.5810169491525425,1.5300241046611723e-05,-0.2
1.6316949152542375,1.4926708492125914e-05,-0.2
1.6823728813559324,1.4587346415935525e-05,-0.2
1.7330508474576274,1.4278604493049844e-05,-0.2
1.7837288135593223,1.399720623140918e-05,-0.2
1.8344067796610173,1.37396793786002e-05,-0.2
1.885084745762712,1.3502590790585694e-05,-0.2
1.935762711864407,1.3283179223330925e-05,-0.2
1.986440677966102,1.307910010996323e-05,-0.2
2.037118644067797,1.2888574459452715e-05,-0.2
2.0877966101694914,1.2710246397258859e-05,-0.2
2.1384745762711863,1.2542712846760434e-05,-0.2
2.1891525423728813,1.2384718120795393e-05,-0.2
2.239830508474576,1.223535965119392e-05,-0.2
2.290508474576271,1.2093158515979418e-05,-0.2
2.341186440677966,1.195584603427053e-05,-0.2
2.391864406779661,1.1822753223296873e-05,-0.2
2.442542372881356,1.1693231837638739e-05,-0.2
2.493220338983051,1.1566776300066719e-05,-0.2
2.543898305084746,1.1443429592465895e-05,-0.2
2.594576271186441,1.1323098086999509e-05,-0.2
2.645254237288136,1.1205551628207385e-05,-0.2
2.6959322033898308,1.1090923278562149e-05,-0.2
2.7466101694915257,1.0979216012300635e-05,-0.2
2.7972881355932206,1.0870367151428481e-05,-0.2
2.847966101694915,1.076437479601617e-05,-0.2
2.89864406779661,1.0661149719264003e-05,-0.2
2.949322033898305,1.0560881679692319e-05,-0.2
3.0,1.046313190367073e-05,-0.2
0.01,7.559620790469126e-05,-0.4
0.06067796610169492,7.495555072523412e-05,-0.4
0.11135593220338984,7.288812045885221e-05,-0.4
0.16203389830508477,6.871826669966408e-05,-0.4
0.2127118644067797,6.442684260540164e-05,-0.4
0.26338983050847464,5.899870762376797e-05,-0.4
0.31406779661016954,5.33967599247754e-05,-0.4
0.36474576271186443,4.8613999575727017e-05,-0.4
0.4154237288135594,4.4634038817988916e-05,-0.4
0.4661016949152543,4.135478466527487e-05,-0.4
0.5167796610169493,3.847138896242285e-05,-0.4
0.5674576271186441,3.562013826274492e-05,-0.4
0.6181355932203391,3.287129624876085e-05,-0.4
0.668813559322034,3.04499243967892e-05,-0.4
0.7194915254237289,2.8496255370625074e-05,-0.4
0.7701694915254238,2.70181282569494e-05,-0.4
0.8208474576271187,2.5911602736094023e-05,-0.4
0.8715254237288137,2.507018452728565e-05,-0.4
0.9222033898305086,2.4371126369991488e-05,-0.4
0.9728813559322035,2.3676560544355116e-05,-0.4
1.0235593220338985,2.290494202803733e-05,-0.4
1.0742372881355933,2.2051310688123963e-05,-0.4
1.1249152542372882,2.1144875540710986e-05,-0.4
